;SKIL;VISL;MARK;MSGM;VISM;MLRT;PANW;AREN;GAXYQ;GOOGL;DTII;FTNT;SBIG;ASTC;NSSC;APLD;ACMR;APYP;AVCTQ;DPSI;PLUS;ANET;GTCH;MCHP;SATT;AVNW;CSGP;DTST;VRNS;AMPG;SWI;SEII;WYY;AAPL;POWI;ZRFY;VRME;GRPN;HPTO;GIFT;STTH;LFER;GZIC;LGIQ;WSTL;QUIK;GIGA;OMQS;TGHI;FALC;SPSC;IPWR;DIRV;PSYC;DSGT;FUBO;BLIN;DELL;HEAR;AEYE;ICLD;ADGO;WDDD;NEON;INAPQ;AEEX;XRX;PALT;DZSI;SRAX;FNCX;VMEMQ;RTNB;LEDS;PRKR;ACLS;COYNQ;ELON;NFLX;ANIX;SDCH;CPAH;YPPN;QRVO;RBBN;DROP;MMPWQ;IDN;ADTM;ACIW;INVE;UBIQ;CTSH;PEGA;MANH;TCX;SHSP;MFON;AFOP;VUZI;PULS.1;IGOI;CRM;APPS;TRMB;MRVC;DLGC;THQIQ;NTWK;SATCQ;AUTO;ASUR;MOVED;PWAVQ;LVLT;RNWK;AMBTQ;PKT;COHR;PLCM;ORSX;WESTD;MSI;RFIL;AGNUQ;ESLRQ;NATI;PRGS;ATNY;INUV;RVBD;KEME;WAVED;ONSM;TESS;TXCCQ;OCLR;NETL.1;PRVTD;DTRM;VTSS;XCRA;ANLY
T-253;-21.6113;;-382.4313;36.4632;;-34.4823;-739.4112;33.2303;-54.4882;-19.9262;43.998;;1.4021;-57.1701;-48.7539;21.8633;31.6779;8.5617;10.6956;;20.3071;-115.2294;25.4476;61.9842;;21.6067;-40.9698;;13.6107;-89.0199;-25.1965;113.1639;111.5652;-62.0332;22.2501;-63.5355;-13.9833;-8.7682;-143.8497;-680.0368;-10.4907;-3.3062;-2415.3612;155.6219;-4.0243;-2.3489;-1439.1159;24136.086;;78.3557;47.8307;140.3133;-72.7777;-27.9817;-17.4511;39.9633;138.0054;14.174;339.8367;29.5618;41.5474;1046381.4958;-49.8076;-127.1053;-6.5438;-4.3968;49.3076;-95.2732;114.4735;18.6447;243.6999;41.3095;;152.4994;-28.8315;;170.1846;-218.5049;123.8465;-533.1471;;492.8063;67.0588;46.922;2.3507;7.1149;1339.4413;174.0465;32.4896;-23.7474;151.2094;-31.2943;89.2237;-24.8818;50.0136;56.0155;-471.1334;-53.9089;-7.9659;292.4326;35.0454;61.6194;-36.5255;14.8017;78.7516;;273.4279;120.4354;85.9724;216.6622;-0.9433;;10.4549;36.451;-87.5566;-63.7471;1131.604;64.0427;78.5016;10.3394;-255.1392;254.4129;68.9085;70.2884;-373.9757;-28.7589;17.0386;-9.16;483.8207;-648.6021;47.6506;3.7773;-7.9705;181.4467;45.4102;-146.6762;261.0384;2.1609;324.0764;377.0165;28.5513;38.8902;201.2681
T-252;-24.7327;-209.7438;-390.8022;40.9357;;-38.4479;-636.9332;35.349;-54.3857;-17.6715;44.8183;107.8908;7.3058;;-49.4041;22.7271;30.6662;6.3781;10.3772;;;-117.2263;;61.2538;-906.0042;19.8712;-40.9634;120.5039;13.7177;-87.7173;-31.7628;112.7063;89.0818;-58.2453;;-63.7232;-13.4147;-9.1298;;-3234.1731;25.9563;-4.9794;-2266.5675;154.1293;-11.8364;-2.4154;-1191.463;;209.3692;77.8304;48.9045;142.3961;-74.0609;-18.4768;-16.9758;44.6206;141.3011;13.0511;;43.3472;42.7879;1031295.579;-54.4017;-127.0747;;22.6352;46.8851;;137.1921;18.7109;248.1731;43.0845;480.2981;153.0764;-27.1279;-0.9732;-1670.1231;-218.642;123.8141;-756.9553;10.8704;484.8794;68.1651;46.9301;1.9077;7.0465;1339.0148;174.1492;32.318;-23.1916;151.6707;-31.3539;89.1861;-25.0951;49.917;55.9443;-470.655;-53.8581;-7.8252;25.0423;;68.5006;-37.5588;-23.1409;84.2069;;260.1733;119.7717;85.9723;214.0017;-2.2358;-15.942;16.4596;;-87.4302;-60.4564;;66.5513;75.2386;-1.4963;-253.9664;264.6598;64.6005;236.3614;-532.2089;-26.148;16.7442;-9.8944;791.9764;-647.7467;52.9882;4.2125;-9.1632;175.5676;45.8821;-145.1142;257.2709;2.226;96.3705;375.8991;7.3079;-19.2918;439.3966
T-251;-21.7175;-199.9073;-395.5944;163.8396;-27.0933;-38.0956;-704.7854;;-54.4403;-18.1211;47.2036;107.7804;1.1766;-55.1212;-52.6804;22.2167;31.8235;1.8644;10.7128;;20.3499;-125.5083;23.5571;-215.6395;-928.0275;28.024;-40.9685;107.5873;13.4903;-87.5604;-24.3152;112.692;93.2546;-59.7897;22.4785;-64.7528;-11.866;12.4062;;-3115.8434;25.5831;-4.8794;-2389.4328;153.4502;-12.3203;-3.8169;-1191.0747;25192.3469;48.7331;81.9524;30.0255;;-74.02;;-17.277;41.0928;;13.1178;346.7305;;43.8569;1014469.8744;-51.2687;-126.8578;-7.5258;19.882;54.2214;-90.4754;;18.6434;242.8688;43.3427;477.0306;152.3896;-28.475;-1.4743;155.1246;;123.8034;-529.4458;10.9338;485.0871;67.015;46.2412;1.9156;6.9816;1346.2859;174.0861;32.0924;-23.5364;149.0337;-31.2804;88.2493;;47.9336;55.9978;;-53.9733;-7.6471;2.7119;35.3194;107.8562;-36.5611;-25.2878;79.0062;-25.7011;272.7355;119.7003;85.9774;;-3.3368;-13.2595;16.1364;;-87.1789;-67.1171;1125.5948;66.341;75.2373;7.9326;-256.3887;265.7805;67.993;94.6505;;-27.6667;21.7885;-6.524;803.048;;46.807;3.2451;;179.3262;45.039;-146.4778;254.6299;1.3034;352.9957;380.14;7.0622;39.0074;29.4979
T-250;-39.1688;-209.6732;-398.3095;;-27.7575;-37.4789;-735.5045;;-54.4726;-10.9221;48.8344;108.6771;1.4582;-58.0122;-49.6862;22.9989;30.3228;8.9492;10.7933;;20.2512;-118.8653;23.5571;60.7932;-924.0239;14.0851;-40.9911;119.1249;16.1717;-88.3939;-22.7117;112.5624;92.9303;-60.0264;22.3954;-62.329;;-7.3976;-140.2006;;26.1778;-3.7953;-2416.1563;149.0987;-13.7246;-2.3537;;;49.2428;77.8183;49.63;140.984;-74.0282;-24.621;-17.3798;40.3228;138.5207;12.5895;334.4319;;41.9758;;;-127.1531;-6.9028;-178.6288;50.7128;-81.9366;132.0458;21.11;240.1368;43.0525;478.3269;152.3029;-29.0849;0.0308;125.493;-218.5177;123.8356;;10.8414;487.1646;67.0451;;1.2432;6.4789;1338.0214;174.185;32.224;-23.9895;151.7533;-31.3512;89.1359;-24.892;49.8871;56.051;-471.2596;-53.9076;1.1761;-419.6771;35.1428;63.3699;-35.9485;;81.186;;273.7003;119.7862;85.9723;218.7288;0.6521;-17.241;15.7296;19.3056;-42.342;-66.2385;1128.4007;66.6412;75.4819;15.1883;-251.4626;264.7435;70.9666;87.7238;-390.5881;-28.8191;17.3217;;802.9297;-648.1649;46.0022;4.0178;;178.1671;41.8034;-147.856;;2.3542;;;10.9139;56.5922;
T-249;-21.5128;-201.8149;-387.3344;41.379;-28.6611;-40.2974;-934.5904;35.4975;-54.242;-18.1359;;108.5123;1.3447;-61.7746;-49.0377;22.2458;31.7063;-7.0884;;;20.2846;-115.6961;;60.3925;-921.6267;16.2993;-40.9547;120.8131;13.2649;-88.6783;-21.8845;113.0405;-974.1653;-64.5724;23.5007;-65.4209;-15.1013;-1.7904;-136.3066;-3098.6793;27.9689;-81.7638;-2610.2947;152.6919;-11.8786;-6.4705;-1195.4076;25055.7708;52.1728;72.1401;48.963;140.4201;-73.8268;;-17.5238;23.8497;138.2061;;340.4072;44.3004;41.8436;1025484.6909;-54.3692;-126.7284;-7.895;20.7332;26.3115;-93.3757;157.2156;18.6351;242.9203;43.1697;475.2305;152.795;-27.2578;;177.5335;-218.5365;123.7939;-539.7213;10.9827;485.4993;;46.9751;;6.9523;;174.2201;32.141;-23.7252;151.3524;-31.3038;88.4166;-25.0532;49.8385;55.9922;-470.9928;;-6.2817;;35.0757;69.6438;-36.4241;-14.5192;79.5945;-25.8779;270.6541;120.1848;85.9723;216.7012;-40.2577;-15.2148;13.225;;-87.0588;-62.478;1115.5097;57.1957;74.916;10.3939;-240.4907;263.605;68.9688;222.6257;-519.1217;-31.8729;17.2928;-11.3491;;-644.8578;45.4798;3.7585;-5.4819;181.1833;44.6174;-188.1075;256.2618;1.48;375.9103;384.5815;4.2619;;-99.4867
T-248;-20.7324;-209.1381;-399.3827;;-27.4142;-38.0353;-714.7462;35.9822;-54.326;-21.4646;51.0131;108.0332;0.332;;-49.6661;22.3533;31.0655;7.4039;10.6985;;20.3356;-114.7901;23.8932;56.0134;-905.8087;19.3999;-40.9543;177.6512;14.4054;-84.4561;-21.8339;112.9326;92.7616;-29.2302;20.9884;-62.2669;-13.3655;-8.2587;-140.8669;-2911.2932;26.4156;-4.4072;-2417.8135;153.4734;-11.4224;-2.6753;;23434.2222;48.4955;77.5336;59.9246;150.3348;-75.0896;-22.0872;;47.7523;140.2963;13.0449;340.3401;47.0725;44.3202;1027277.6394;-51.9816;-127.0542;-5.9989;22.3261;;-71.6498;123.5291;19.3316;141.1389;43.0719;476.4484;152.589;-27.5627;;204.7067;-218.3926;123.795;-508.0315;10.9548;485.2848;67.105;47.7889;1.9595;6.9439;1339.6952;174.2193;32.3323;-23.892;154.0296;-31.267;88.994;-24.8615;49.9054;56.1086;-470.7278;;-7.5254;;34.583;72.7772;-36.443;-22.9221;76.6703;;273.2096;121.0513;85.9579;217.4785;0.8717;-12.0069;17.9539;27.0117;-87.0666;-61.7443;1127.0626;66.6918;76.4456;-27.6091;-250.9974;;69.1128;79.5793;-382.8281;-28.0039;22.7314;-10.4731;806.2888;-646.9649;44.7049;3.5407;-7.6149;154.9796;44.9024;-147.2245;256.8098;2.1871;242.1672;380.5225;7.1899;36.6016;25.6167
T-247;-20.4427;-176.3585;-390.8961;40.1554;-29.5273;-35.7427;-734.2769;;-54.3684;-18.4296;49.836;107.7056;;-70.4433;-50.1253;22.2974;30.6614;9.8757;11.2899;;;-113.5909;23.8401;62.9679;-894.8522;19.8433;-40.9543;136.3426;13.4274;-88.6557;-23.2957;113.5031;471.6752;-59.341;22.1794;-65.443;-13.4308;-5.3077;-141.6528;-5405.3456;;-5.1992;-2359.3251;159.151;-12.8025;-2.3423;-1193.0795;25695.7928;48.6786;77.8691;47.4224;140.0391;;-25.701;-17.1242;40.5233;138.5076;13.8198;339.0184;43.2756;41.4673;993686.1031;-49.3186;-127.0932;-6.822;56.3159;54.3417;;130.4356;18.6419;243.2658;42.7835;480.7958;152.7091;-28.8256;-1.6322;157.9463;;123.9648;-539.0003;10.9384;486.3129;67.0738;46.9584;2.7538;7.6625;1339.8823;;32.071;-23.5076;151.5962;-31.2832;89.6181;-24.8107;49.9288;56.0179;;-53.9046;-8.1919;-0.6033;35.0832;57.8319;-36.7341;-28.0811;81.4921;-24.9088;275.0202;120.2535;85.9723;216.9051;-11.8825;-15.5067;15.4871;17.7037;-86.5689;-58.0686;1128.2496;;75.233;11.6482;-258.8744;264.4845;87.593;;-402.5948;-28.5416;19.568;-9.7561;;-646.5243;45.1889;3.5158;-7.7914;181.6493;45.1892;;257.3638;1.6332;328.1338;399.4449;-0.9635;38.0591;
T-246;-22.3467;-209.9947;-278.2668;41.112;-27.7366;;-768.4668;35.4732;-54.2977;-52.4552;48.2841;107.4383;1.5228;-58.5481;-49.2749;22.681;30.2073;7.579;10.7555;;20.1736;-119.4408;23.7063;;-912.1811;-10.6764;-40.9444;122.4656;11.8725;-90.7644;-29.808;114.0635;89.4817;-60.2292;28.9836;-61.2165;-13.7893;2.7294;-142.2419;-3083.2107;-25.3177;-3.9371;-2426.682;153.5219;-12.73;-2.0955;-1202.3342;23776.7586;47.6148;79.5563;47.7721;140.3893;-73.9751;-24.3694;-17.4199;49.7587;138.1398;16.4089;338.8419;43.5356;41.5078;;-47.0236;-126.6132;1.6374;28.3344;49.4965;;128.7302;;214.5237;43.1266;476.4987;;-28.502;0.6516;174.221;-219.1365;123.8007;;10.9111;485.2493;;44.4278;1.9432;;1339.623;174.2002;32.3112;-24.0326;153.2573;-31.2389;;-24.9818;-7.9114;;-470.4403;-53.9487;;-5.796;32.6684;66.7601;-36.7117;-24.076;78.6402;-25.6965;273.8526;112.8451;85.9725;219.2532;2.2124;-9.6364;15.7186;16.7902;-89.4891;-64.8131;460.3708;77.5855;75.3346;33.2367;-252.2926;267.7691;68.7492;81.6089;;-28.8318;17.1674;-12.0533;768.6406;;48.1974;;-5.257;181.001;43.4021;;273.5417;;323.0862;;;38.0406;21.4154
T-245;-20.6741;-210.8917;-390.355;40.463;-26.8496;;-612.2109;34.1566;-54.5792;-20.4223;49.5508;107.268;1.4098;-59.188;-49.7764;22.6003;31.5798;13.2449;10.6643;;20.3296;-118.3042;17.645;61.8287;-956.7265;21.3185;-40.9528;100.4382;13.6223;-88.9468;-30.5923;113.7728;90.954;-53.9695;23.203;-64.6175;-12.9454;;;-4453.7092;26.2734;-0.1356;-2579.3834;151.8114;-11.8549;-2.2965;-1192.6726;25119.5308;41.6895;77.7905;48.3946;134.6326;-73.4874;-33.8394;-17.922;42.2961;131.5111;12.9616;340.7834;40.3625;41.9455;1031831.5859;-51.0619;-127.6845;-6.422;21.0411;55.8245;-87.6581;132.1934;18.6945;242.9852;43.1647;477.0876;152.6611;-26.3344;0.7871;334.4098;-218.5936;124.0609;-535.1811;;485.178;;47.0584;-0.5269;6.8969;;173.9989;32.2236;-23.55;152.0562;-31.2727;89.2483;-25.3333;49.9528;55.9798;-470.8926;-53.8828;-7.8659;8.035;34.8971;65.9544;-36.5616;-23.9165;82.0811;-24.1769;;119.8666;;216.5506;;-15.4618;16.1354;24.8394;;-78.8647;1128.6398;66.7811;75.1895;;-261.6332;264.662;46.386;90.8773;-393.5927;;10.806;-9.818;796.3596;-647.1373;47.8277;4.9472;-7.9653;171.5838;44.5446;;257.11;1.9451;394.6004;380.3681;5.2409;42.2992;-608.8338
T-244;-21.8371;;-375.2181;44.3149;-30.666;-37.8115;-737.6181;;-54.3048;-17.9764;48.8933;107.5044;2.3275;-57.7487;-49.3862;23.7529;31.2562;;10.749;;20.3495;-87.3738;23.6907;88.1626;-921.4121;15.9993;-40.9481;131.9489;13.7561;-89.2721;-26.4252;113.184;102.2279;-61.0107;21.4543;;-14.022;-14.0605;-141.9698;-3295.5688;26.4859;-3.4323;-2403.0789;153.7813;-12.2179;-2.1542;-1219.8566;31943.8769;48.5109;80.476;49.7018;141.1984;-73.5789;-21.9493;-17.4026;40.9058;138.5247;13.663;340.7632;43.4368;40.2335;1025894.8602;-51.3456;-127.3002;-4.5482;;55.2959;-97.7613;72.2511;18.6284;;43.087;481.097;;-28.3758;-2.0016;172.2162;-218.6292;123.7999;-489.1587;10.9538;404.4917;67.0583;46.9895;2.0409;;;174.1657;32.6492;-23.726;174.934;-31.3018;89.1703;-24.9931;50.1214;56.0237;;-53.9159;-7.5904;3.5119;35.0832;57.389;-36.0432;;79.3008;-26.1319;272.6944;120.4058;85.9721;212.5996;1.0589;-13.9143;16.0748;19.0904;-88.6555;;1130.6511;65.8239;79.7553;8.0067;-254.192;265.9003;68.3349;84.4781;;-23.5443;18.8655;-13.2792;803.6491;-649.2029;43.4967;;-4.8503;181.3987;44.1923;;;2.3492;313.1497;342.0956;7.9493;45.1686;785.4995
